PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1628991,24,Jaren Jackson Jr.,1610612763,MEM,66,32.2,7.8,17.6,0.444,1.8,5.5,0.32,5.1,6.3,0.808,1.3,4.2,5.5,2.3,1.2,1.6,2.4,22.5,19.8
1627749,25,Dejounte Murray,1610612737,ATL,78,35.7,8.6,18.8,0.459,2.6,7.1,0.363,2.7,3.4,0.794,0.8,4.5,5.3,6.4,1.4,0.3,2.6,22.5,22.6
1630560,26,Cam Thomas,1610612751,BKN,66,31.4,8.0,18.0,0.442,2.2,6.0,0.364,4.3,5.1,0.856,0.4,2.8,3.2,2.9,0.7,0.2,1.9,22.5,16.9
1628398,27,Kyle Kuzma,1610612764,WAS,70,32.6,8.7,18.8,0.463,2.2,6.4,0.336,2.7,3.4,0.775,0.9,5.7,6.6,4.2,0.5,0.7,2.7,22.2,20.7
1626157,28,Karl-Anthony Towns,1610612750,MIN,62,32.7,7.7,15.3,0.504,2.2,5.3,0.416,4.1,4.7,0.873,1.5,6.8,8.3,3.0,0.7,0.7,2.9,21.8,23.4
1627783,29,Pascal Siakam,1610612754,IND,80,33.2,8.5,15.9,0.536,1.1,3.1,0.346,3.6,5.0,0.732,1.7,5.3,7.1,4.3,0.8,0.3,1.8,21.7,23.7
1641705,30,Victor Wembanyama,1610612759,SAS,71,29.7,7.8,16.7,0.465,1.8,5.5,0.325,4.1,5.2,0.796,2.3,8.4,10.6,3.9,1.2,3.6,3.7,21.4,27.1
1627750,31,Jamal Murray,1610612743,DEN,59,31.5,8.0,16.7,0.481,2.5,5.8,0.425,2.7,3.1,0.853,0.7,3.4,4.1,6.5,1.0,0.7,2.1,21.2,22.2
1630578,32,Alperen Sengun,1610612745,HOU,63,32.5,8.4,15.6,0.537,0.5,1.8,0.297,3.9,5.6,0.693,2.9,6.4,9.3,5.0,1.2,0.7,2.6,21.1,25.9
1628970,33,Miles Bridges,1610612766,CHA,69,37.4,8.1,17.5,0.462,2.3,6.5,0.349,2.5,3.1,0.825,1.0,6.3,7.3,3.3,0.9,0.5,2.0,21.0,21.1
1627742,34,Brandon Ingram,1610612740,NOP,64,32.9,7.8,15.9,0.492,1.3,3.8,0.355,3.8,4.8,0.801,0.7,4.4,5.1,5.7,0.8,0.6,2.5,20.8,21.4
202710,35,Jimmy Butler III,1610612748,MIA,60,34.0,6.6,13.2,0.499,1.0,2.4,0.414,6.6,7.7,0.858,1.8,3.6,5.3,5.0,1.3,0.3,1.7,20.8,23.2
1629628,36,RJ Barrett,1610612761,TOR,58,31.7,7.5,15.2,0.495,1.6,4.3,0.36,3.6,5.0,0.715,0.9,4.5,5.4,3.3,0.5,0.4,2.2,20.2,18.6
1630169,37,Tyrese Haliburton,1610612754,IND,69,32.2,7.2,15.2,0.477,2.8,7.8,0.364,2.8,3.3,0.855,0.5,3.4,3.9,10.9,1.2,0.7,2.3,20.1,26.1
203468,38,CJ McCollum,1610612740,NOP,66,32.7,7.3,16.0,0.459,3.6,8.4,0.429,1.7,2.1,0.827,0.6,3.7,4.3,4.6,0.9,0.6,1.7,20.0,19.9
1630567,39,Scottie Barnes,1610612761,TOR,60,34.9,7.5,15.7,0.475,1.7,4.9,0.341,3.3,4.2,0.781,2.4,5.9,8.2,6.1,1.3,1.5,2.8,19.9,24.9
1626179,40,Terry Rozier,1610612748,MIA,61,33.4,7.2,16.4,0.443,2.4,6.7,0.363,2.8,3.2,0.869,0.6,3.5,4.0,5.6,1.0,0.3,1.7,19.8,19.5
1630532,41,Franz Wagner,1610612753,ORL,72,32.5,7.3,15.2,0.482,1.3,4.6,0.281,3.8,4.4,0.85,1.0,4.3,5.3,3.7,1.1,0.4,1.9,19.7,19.8
1630224,42,Jalen Green,1610612745,HOU,82,31.7,6.9,16.2,0.423,2.5,7.4,0.332,3.5,4.3,0.804,0.5,4.7,5.2,3.5,0.8,0.3,2.3,19.6,16.9
1628969,43,Mikal Bridges,1610612751,BKN,82,34.8,6.9,15.8,0.436,2.7,7.2,0.372,3.1,3.9,0.814,0.8,3.7,4.5,3.6,1.0,0.4,2.0,19.6,17.5
1630170,44,Devin Vassell,1610612759,SAS,68,33.1,7.3,15.5,0.472,2.4,6.6,0.372,2.4,3.0,0.801,0.4,3.4,3.8,4.1,1.1,0.3,1.6,19.5,18.4
1627734,45,Domantas Sabonis,1610612758,SAC,82,35.7,7.7,13.0,0.594,0.4,1.1,0.379,3.6,5.1,0.704,3.6,10.1,13.7,8.2,0.9,0.6,3.3,19.4,32.7
1628389,46,Bam Adebayo,1610612748,MIA,71,34.0,7.5,14.3,0.521,0.2,0.6,0.357,4.1,5.5,0.755,2.2,8.1,10.4,3.9,1.1,0.9,2.3,19.3,25.1
1629632,47,Coby White,1610612741,CHI,79,36.5,6.8,15.3,0.447,2.6,7.0,0.376,2.8,3.3,0.838,0.6,4.0,4.5,5.1,0.7,0.2,2.1,19.1,18.6
1631114,48,Jalen Williams,1610612760,OKC,71,31.3,7.5,14.0,0.54,1.5,3.4,0.427,2.5,3.1,0.814,0.5,3.5,4.0,4.5,1.1,0.6,1.7,19.1,20.6
1629012,49,Collin Sexton,1610612762,UTA,78,26.6,6.5,13.3,0.487,1.6,4.2,0.394,4.1,4.7,0.859,0.9,1.7,2.6,4.9,0.8,0.2,2.1,18.7,17.7
202696,50,Nikola Vučević,1610612741,CHI,76,34.3,7.7,15.9,0.484,1.2,4.1,0.294,1.4,1.7,0.822,2.8,7.8,10.5,3.3,0.7,0.8,1.6,18.0,23.3
1626156,51,D'Angelo Russell,1610612747,LAL,76,32.7,6.5,14.2,0.456,3.0,7.2,0.415,2.1,2.5,0.828,0.4,2.7,3.1,6.3,0.9,0.5,2.1,18.0,18.6
202691,52,Klay Thompson,1610612744,GSW,77,29.7,6.4,14.7,0.432,3.5,9.0,0.387,1.6,1.8,0.927,0.5,2.8,3.3,2.3,0.6,0.5,1.5,17.9,14.5
1627832,53,Fred VanVleet,1610612745,HOU,73,36.8,5.8,13.9,0.416,3.1,8.0,0.387,2.7,3.1,0.86,0.5,3.4,3.8,8.1,1.4,0.8,1.7,17.4,21.2
1629673,54,Jordan Poole,1610612764,WAS,78,30.1,6.3,15.2,0.413,2.4,7.2,0.326,2.5,2.8,0.877,0.4,2.3,2.7,4.4,1.1,0.3,2.4,17.4,14.2
1641706,55,Brandon Miller,1610612766,CHA,74,32.2,6.4,14.6,0.44,2.5,6.7,0.373,1.9,2.3,0.827,0.8,3.4,4.3,2.4,0.9,0.6,1.8,17.3,15.0
202699,56,Tobias Harris,1610612755,PHI,70,33.8,6.6,13.6,0.487,1.3,3.7,0.353,2.7,3.0,0.878,1.1,5.3,6.5,3.1,1.0,0.7,1.3,17.2,19.8
1626167,57,Myles Turner,1610612754,IND,77,27.0,6.2,11.8,0.524,1.5,4.2,0.358,3.2,4.1,0.773,1.5,5.5,6.9,1.3,0.5,1.9,1.4,17.1,19.7
1630193,58,Immanuel Quickley,1610612761,TOR,68,29.2,5.7,13.1,0.434,2.5,6.4,0.395,3.1,3.6,0.853,0.3,3.6,3.8,4.9,0.7,0.1,1.5,17.0,17.1
203992,59,Bogdan Bogdanović,1610612737,ATL,79,30.4,6.0,13.9,0.428,3.0,8.1,0.374,1.9,2.1,0.921,0.7,2.8,3.4,3.1,1.2,0.3,1.4,16.9,15.4
1629008,60,Michael Porter Jr.,1610612743,DEN,81,31.7,6.4,13.3,0.484,2.7,6.8,0.397,1.1,1.4,0.836,1.3,5.7,7.0,1.5,0.5,0.7,1.1,16.7,18.2
201935,61,James Harden,1610612746,LAC,72,34.3,4.9,11.4,0.428,2.6,6.8,0.381,4.2,4.8,0.878,0.5,4.7,5.1,8.5,1.1,0.8,2.6,16.6,22.4
1631096,62,Chet Holmgren,1610612760,OKC,82,29.4,6.2,11.6,0.53,1.6,4.3,0.37,2.7,3.4,0.793,1.6,6.3,7.9,2.4,0.6,2.3,1.6,16.5,22.1
1628386,63,Jarrett Allen,1610612739,CLE,77,31.7,6.7,10.6,0.634,0.0,0.1,0.0,3.0,4.1,0.742,3.2,7.4,10.5,2.7,0.7,1.1,1.6,16.5,25.0
1630228,64,Jonathan Kuminga,1610612744,GSW,74,26.3,6.2,11.6,0.529,0.7,2.2,0.321,3.0,4.0,0.746,1.2,3.6,4.8,2.2,0.7,0.5,1.6,16.1,16.1
1630559,65,Austin Reaves,1610612747,LAL,82,32.1,5.6,11.5,0.486,1.9,5.1,0.367,2.8,3.3,0.853,0.7,3.6,4.3,5.5,0.8,0.3,2.1,15.9,18.2
1629640,66,Keldon Johnson,1610612759,SAS,69,29.5,5.7,12.5,0.454,1.8,5.3,0.346,2.5,3.2,0.792,1.4,4.1,5.5,2.8,0.7,0.3,1.4,15.7,16.1
1628978,67,Donte DiVincenzo,1610612752,NYK,81,29.1,5.5,12.4,0.443,3.5,8.7,0.401,1.1,1.4,0.754,0.8,2.9,3.7,2.7,1.3,0.4,1.4,15.5,15.0
1626162,68,Kelly Oubre Jr.,1610612755,PHI,68,30.2,5.7,12.9,0.441,1.5,4.8,0.311,2.6,3.4,0.75,1.4,3.6,5.0,1.5,1.1,0.7,1.3,15.4,14.4
1628370,69,Malik Monk,1610612758,SAC,72,26.0,5.5,12.4,0.443,2.1,5.9,0.35,2.4,2.8,0.829,0.4,2.6,2.9,5.1,0.6,0.5,2.1,15.4,15.2
1631093,70,Jaden Ivey,1610612765,DET,77,28.8,5.4,12.6,0.429,1.6,4.8,0.336,2.9,3.9,0.749,1.1,2.3,3.4,3.8,0.7,0.5,2.5,15.4,13.3
1631099,71,Keegan Murray,1610612758,SAC,77,33.6,5.8,12.7,0.454,2.4,6.6,0.358,1.3,1.6,0.831,1.4,4.1,5.5,1.7,1.0,0.8,0.8,15.2,16.1
1628401,72,Derrick White,1610612738,BOS,73,32.6,5.3,11.5,0.461,2.7,6.8,0.396,1.9,2.1,0.901,0.7,3.5,4.2,5.2,1.0,1.2,1.5,15.2,18.8
1628381,73,John Collins,1610612762,UTA,68,28.0,5.8,11.0,0.532,1.3,3.4,0.371,2.2,2.7,0.795,2.3,6.1,8.5,1.1,0.6,0.9,1.4,15.1,19.0
1630166,74,Deni Avdija,1610612764,WAS,75,30.1,5.4,10.7,0.506,1.2,3.1,0.374,2.7,3.6,0.74,1.1,6.1,7.2,3.8,0.8,0.5,2.1,14.7,18.6
1631097,75,Bennedict Mathurin,1610612754,IND,59,26.1,5.0,11.2,0.446,1.4,3.6,0.374,3.1,3.8,0.821,1.0,2.9,4.0,2.0,0.6,0.2,1.6,14.5,12.8
203501,76,Tim Hardaway Jr.,1610612742,DAL,79,26.8,5.0,12.4,0.402,2.7,7.6,0.353,1.8,2.1,0.852,0.3,2.9,3.2,1.8,0.5,0.1,0.9,14.4,11.4
203471,77,Dennis Schröder,1610612751,BKN,80,31.1,5.0,11.6,0.435,1.7,4.6,0.375,2.2,2.7,0.836,0.5,2.5,3.0,6.1,0.8,0.2,1.9,14.0,15.3
1627747,78,Caris LeVert,1610612739,CLE,68,28.8,5.1,12.1,0.421,1.6,4.9,0.325,2.3,3.0,0.766,0.6,3.5,4.1,5.1,1.1,0.5,1.7,14.0,15.4
1630703,78,Scoot Henderson,1610612757,POR,62,28.5,5.0,12.9,0.385,1.4,4.3,0.325,2.7,3.3,0.819,0.9,2.3,3.1,5.4,0.8,0.2,3.4,14.0,11.6
203497,80,Rudy Gobert,1610612750,MIN,76,34.1,5.3,8.1,0.661,0.0,0.0,0.0,3.3,5.1,0.638,3.8,9.2,12.9,1.3,0.7,2.1,1.6,14.0,24.9
1626181,81,Norman Powell,1610612746,LAC,76,26.2,4.9,10.1,0.486,2.2,5.1,0.435,1.9,2.3,0.831,0.2,2.4,2.6,1.1,0.6,0.3,0.9,13.9,11.9
203932,82,Aaron Gordon,1610612743,DEN,73,31.5,5.5,9.8,0.556,0.5,1.9,0.29,2.4,3.7,0.658,2.4,4.1,6.5,3.5,0.8,0.6,1.4,13.9,18.2
1631105,83,Jalen Duren,1610612765,DET,61,29.1,5.7,9.2,0.619,0.0,0.1,0.0,2.3,3.0,0.79,3.1,8.5,11.6,2.4,0.5,0.8,2.1,13.8,22.9
1626171,84,Bobby Portis,1610612749,MIL,82,24.5,5.7,11.2,0.508,1.2,3.0,0.407,1.2,1.5,0.79,1.7,5.7,7.4,1.3,0.8,0.4,1.1,13.8,16.8
1631095,85,Jabari Smith Jr.,1610612745,HOU,76,31.9,5.0,11.0,0.454,1.8,5.0,0.363,2.0,2.4,0.811,1.8,6.3,8.1,1.6,0.7,0.8,1.2,13.7,17.3
1629018,86,Gary Trent Jr.,1610612761,TOR,71,28.1,5.1,11.9,0.426,2.5,6.4,0.393,1.0,1.4,0.771,0.4,2.3,2.6,1.7,1.1,0.1,0.7,13.7,11.5
1630180,87,Saddiq Bey,1610612737,ATL,63,32.7,4.6,11.1,0.416,1.8,5.7,0.316,2.7,3.2,0.837,2.7,3.9,6.5,1.5,0.8,0.2,0.9,13.7,14.8
1629060,88,Rui Hachimura,1610612747,LAL,68,26.8,5.3,9.9,0.537,1.4,3.4,0.422,1.5,2.0,0.739,0.9,3.5,4.3,1.2,0.6,0.4,0.7,13.6,14.3
1628960,89,Grayson Allen,1610612756,PHX,75,33.5,4.5,9.1,0.499,2.7,5.9,0.461,1.7,2.0,0.878,0.6,3.3,3.9,3.0,0.9,0.6,1.3,13.5,15.9
1629675,90,Naz Reid,1610612750,MIN,81,24.2,5.0,10.5,0.477,2.1,5.0,0.414,1.3,1.8,0.736,0.9,4.3,5.2,1.3,0.8,0.9,1.4,13.5,14.3
1629661,91,Cameron Johnson,1610612751,BKN,58,27.6,4.8,10.7,0.446,2.4,6.1,0.391,1.5,1.9,0.789,0.9,3.4,4.3,2.4,0.8,0.3,1.0,13.4,13.9
1630557,92,Corey Kispert,1610612764,WAS,80,25.8,4.8,9.9,0.486,2.3,6.0,0.383,1.4,2.0,0.726,0.4,2.4,2.8,2.0,0.5,0.2,1.2,13.4,12.0
203952,93,Andrew Wiggins,1610612744,GSW,71,27.0,5.0,11.0,0.453,1.3,3.6,0.358,2.0,2.7,0.751,1.5,3.0,4.5,1.7,0.6,0.6,1.2,13.2,12.7
1641718,94,Keyonte George,1610612762,UTA,75,27.0,4.3,10.9,0.391,2.0,5.9,0.334,2.5,3.0,0.848,0.2,2.6,2.8,4.4,0.5,0.1,2.5,13.0,11.2
1629130,95,Duncan Robinson,1610612748,MIA,68,28.0,4.5,9.9,0.45,2.8,7.0,0.395,1.2,1.3,0.889,0.2,2.3,2.5,2.8,0.7,0.2,1.4,12.9,12.1
1629023,96,P.J. Washington,1610612742,DAL,73,30.4,4.8,11.1,0.436,1.8,5.7,0.32,1.4,2.0,0.683,1.2,4.5,5.6,1.9,1.0,0.8,1.3,12.9,14.0
1628415,97,Dillon Brooks,1610612745,HOU,72,30.9,4.6,10.7,0.428,1.8,5.1,0.359,1.7,2.0,0.844,0.7,2.7,3.4,1.7,0.9,0.1,1.2,12.7,11.2
1630591,98,Jalen Suggs,1610612753,ORL,75,27.0,4.5,9.5,0.471,2.0,5.1,0.397,1.6,2.1,0.756,0.6,2.4,3.1,2.7,1.4,0.6,1.8,12.6,13.1
201572,99,Brook Lopez,1610612749,MIL,79,30.5,4.6,9.6,0.485,1.9,5.1,0.366,1.4,1.7,0.821,1.5,3.7,5.2,1.6,0.5,2.4,1.0,12.5,16.0
201950,100,Jrue Holiday,1610612738,BOS,69,32.8,4.8,10.0,0.48,2.0,4.7,0.429,0.9,1.0,0.833,1.2,4.2,5.4,4.8,0.9,0.8,1.8,12.5,17.2
